City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kaitangata,NZ,2022-04-15 00:31:27,-46.2817,169.8464,63.32,50,22,2.1
68,Nanortalik,GL,2022-04-15 00:31:28,60.1432,-45.2371,31.87,91,100,4.52
69,Vaini,TO,2022-04-15 00:31:28,-21.2,-175.2,84.36,84,40,14.97
70,Cidreira,BR,2022-04-15 00:31:28,-30.1811,-50.2056,60.37,67,0,11.83
71,Banjar,ID,2022-04-15 00:31:29,-8.19,114.9675,85.28,68,49,0.96
72,Polson,US,2022-04-15 00:31:29,47.6936,-114.1632,37.22,41,99,11.01
73,Chokurdakh,RU,2022-04-15 00:31:29,70.6333,147.9167,10.58,91,100,8.57
74,Thompson,CA,2022-04-15 00:31:30,55.7435,-97.8558,14.16,52,100,16.11
75,Port Macquarie,AU,2022-04-15 00:31:30,-31.4333,152.9167,73.89,63,47,5.44
76,Hermanus,ZA,2022-04-15 00:31:30,-34.4187,19.2345,54.81,75,92,11.81
77,Mataura,NZ,2022-04-15 00:31:31,-46.1927,168.8643,63.0,47,100,2.98
78,Avarua,CK,2022-04-15 00:31:31,-21.2078,-159.775,84.25,79,77,4.61
79,Bredasdorp,ZA,2022-04-15 00:31:31,-34.5322,20.0403,54.21,84,36,6.02
80,Alofi,NU,2022-04-15 00:31:32,-19.0595,-169.9187,85.89,66,40,9.22
81,Butaritari,KI,2022-04-15 00:31:32,3.0707,172.7902,81.63,73,100,11.3
82,Vila Franca Do Campo,PT,2022-04-15 00:31:33,37.7167,-25.4333,61.21,93,100,9.19
83,Hounde,BF,2022-04-15 00:31:33,11.5,-3.5167,89.29,27,97,5.37
84,Bereznik,RU,2022-04-15 00:31:33,62.8551,42.7072,28.96,93,100,2.51
85,Polis,CY,2022-04-15 00:31:34,35.0367,32.4264,55.22,54,7,6.24
86,Santa Rosa,PH,2022-04-15 00:31:34,14.3122,121.1114,87.1,71,71,4.68
87,Derzhavinsk,KZ,2022-04-15 00:32:35,51.1,66.3167,52.74,59,7,9.08
88,Makakilo City,US,2022-04-15 00:32:35,21.3469,-158.0858,82.72,51,40,23.02
89,Lazaro Cardenas,MX,2022-04-15 00:32:35,17.9583,-102.2,76.93,72,100,5.7
90,Baloda Bazar,IN,2022-04-15 00:32:36,21.6667,82.1667,85.91,36,66,7.38
91,La Roda,ES,2022-04-15 00:32:36,39.2167,-2.15,51.91,76,2,2.28
92,Ribeira Grande,PT,2022-04-15 00:32:36,38.5167,-28.7,63.0,82,75,21.85
93,Yellowknife,CA,2022-04-15 00:32:37,62.456,-114.3525,23.29,59,75,10.36
94,New Norfolk,AU,2022-04-15 00:32:37,-42.7826,147.0587,62.92,50,100,4.36
95,Port Alfred,ZA,2022-04-15 00:32:38,-33.5906,26.891,61.18,95,100,8.99
96,Mahon,ES,2022-04-15 00:32:38,39.8885,4.2658,55.96,94,0,9.22
97,Plastun,RU,2022-04-15 00:32:38,44.7561,136.2939,50.72,39,0,1.77
98,Matara,LK,2022-04-15 00:32:39,5.9485,80.5353,78.37,86,27,2.98
99,Guia De Isora,ES,2022-04-15 00:32:39,28.2115,-16.7795,59.97,71,3,8.14
100,Suleja,NG,2022-04-15 00:32:39,9.1758,7.1808,78.3,71,75,6.15
101,Valdivia,CL,2022-04-15 00:32:39,-39.8142,-73.2459,48.72,92,0,1.81
102,Ancud,CL,2022-04-15 00:32:40,-41.8697,-73.8203,50.83,92,0,2.86
103,Pangnirtung,CA,2022-04-15 00:32:40,66.1451,-65.7125,-4.7,93,28,5.28
104,Santa Cruz De La Palma,ES,2022-04-15 00:32:40,28.6835,-17.7642,62.74,72,0,10.36
105,Port-Cartier,CA,2022-04-15 00:32:41,50.0334,-66.8654,39.42,93,100,6.71
106,Vestmannaeyjar,IS,2022-04-15 00:32:41,63.4427,-20.2734,47.14,89,100,27.78
107,Cururupu,BR,2022-04-15 00:31:52,-1.8283,-44.8683,75.13,95,100,3.2
108,Altay,CN,2022-04-15 00:32:41,47.8667,88.1167,31.73,33,0,9.62
109,Broome,US,2022-04-15 00:32:42,42.2506,-75.833,51.01,72,40,3.44
110,Souillac,MU,2022-04-15 00:32:43,-20.5167,57.5167,77.38,78,40,10.36
111,Xianyang,CN,2022-04-15 00:32:43,34.3378,108.7026,52.84,76,100,15.66
112,Oriximina,BR,2022-04-15 00:30:18,-1.7656,-55.8661,76.41,94,100,2.39
113,Comodoro Rivadavia,AR,2022-04-15 00:32:43,-45.8667,-67.5,60.66,63,0,9.22
114,Tuktoyaktuk,CA,2022-04-15 00:32:44,69.4541,-133.0374,-2.2,78,40,9.22
115,Saint George,US,2022-04-15 00:30:16,37.1041,-113.5841,70.39,11,0,9.22
116,Kolpny,RU,2022-04-15 00:32:44,52.2282,37.0368,38.07,75,7,6.2
117,Atuona,PF,2022-04-15 00:32:44,-9.8,-139.0333,79.21,73,94,14.36
118,Olafsvik,IS,2022-04-15 00:32:45,64.8945,-23.7142,44.91,97,100,20.31
119,Heishan,CN,2022-04-15 00:32:45,41.6892,122.1128,53.85,21,0,12.95
120,Severo-Kurilsk,RU,2022-04-15 00:32:46,50.6789,156.125,31.1,72,81,19.66
121,Jatiwangi,ID,2022-04-15 00:32:46,-6.7336,108.2628,81.39,76,60,2.53
122,Victoria,HK,2022-04-15 00:28:17,22.2855,114.1577,79.18,71,9,24.0
123,Laguna,US,2022-04-15 00:32:47,38.421,-121.4238,59.14,91,100,11.5
124,Ormara,PK,2022-04-15 00:32:47,25.2088,64.6357,79.57,77,0,11.9
125,West Wendover,US,2022-04-15 00:32:47,40.7391,-114.0733,56.41,28,0,24.16
126,Geraldton,AU,2022-04-15 00:32:48,-28.7667,114.6,70.21,64,0,13.8
127,Ayan,RU,2022-04-15 00:32:13,56.45,138.1667,29.73,71,2,3.87
128,Stromness,GB,2022-04-15 00:32:48,58.965,-3.296,44.56,90,100,11.01
129,Pisco,PE,2022-04-15 00:33:48,-13.7,-76.2167,65.01,82,0,19.57
130,Coquimbo,CL,2022-04-15 00:33:49,-29.9533,-71.3436,58.48,83,15,4.52
131,Kondinskoye,RU,2022-04-15 00:33:49,59.6481,67.41,35.91,100,100,4.63
132,Bethel,US,2022-04-15 00:33:49,41.3712,-73.414,61.86,84,100,6.62
133,Rosario,AR,2022-04-15 00:30:12,-32.9468,-60.6393,60.08,67,0,3.44
134,Narwar,IN,2022-04-15 00:33:50,25.65,77.9,84.13,18,13,1.88
135,San Patricio,US,2022-04-15 00:33:50,28.017,-97.5169,77.72,72,6,14.56
136,Katsuura,JP,2022-04-15 00:31:51,35.1333,140.3,53.62,90,100,17.6
137,Nipawin,CA,2022-04-15 00:30:19,53.3668,-104.0009,21.24,49,100,21.85
138,Acarau,BR,2022-04-15 00:33:51,-2.8856,-40.12,78.12,85,94,7.0
139,Meadow Lake,US,2022-04-15 00:33:51,34.8014,-106.5436,70.29,12,83,7.76
140,Oranienburg,DE,2022-04-15 00:29:02,52.75,13.2333,53.06,98,80,1.01
141,Gimli,CA,2022-04-15 00:33:52,50.6336,-96.9907,17.62,79,100,14.97
142,Kurilsk,RU,2022-04-15 00:33:52,45.2333,147.8833,34.29,71,100,7.2
143,Kirkwall,GB,2022-04-15 00:33:52,58.9848,-2.9587,44.65,93,100,11.5
144,Sahuaripa,MX,2022-04-15 00:33:53,29.05,-109.2333,87.6,5,98,9.37
145,Aranos,NA,2022-04-15 00:33:53,-24.1333,19.1167,67.01,20,98,8.59
146,Bambous Virieux,MU,2022-04-15 00:33:53,-20.3428,57.7575,78.22,78,40,10.36
147,Morros,BR,2022-04-15 00:33:54,-9.4467,-46.3003,74.91,82,93,2.19
148,Hovd,MN,2022-04-15 00:33:54,48.0056,91.6419,26.96,45,100,4.32
149,Maniitsoq,GL,2022-04-15 00:33:55,65.4167,-52.9,15.48,64,2,12.08
150,Paamiut,GL,2022-04-15 00:33:55,61.994,-49.6678,23.05,90,100,23.98
151,Byron Bay,AU,2022-04-15 00:29:31,-28.65,153.6167,69.71,74,49,13.67
152,Clyde River,CA,2022-04-15 00:33:55,70.4692,-68.5914,-1.97,84,0,12.66
153,Cacapava Do Sul,BR,2022-04-15 00:33:56,-30.5122,-53.4914,48.76,67,0,4.72
154,Mecca,SA,2022-04-15 00:32:52,21.4267,39.8261,79.99,45,11,3.69
155,Betanzos,ES,2022-04-15 00:33:56,43.2804,-8.2147,55.09,82,100,2.3
156,Kjopsvik,NO,2022-04-15 00:33:56,68.097,16.3742,31.87,87,76,7.7
157,Saint-Pierre,RE,2022-04-15 00:33:57,-21.3393,55.4781,78.48,76,40,25.32
158,Xai-Xai,MZ,2022-04-15 00:33:57,-25.0519,33.6442,76.46,85,96,2.06
